Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph07,3,1,358893,115185,39.25299859046936,6
graph07,3,1,293983,97089,31.829463243484497,6
graph07,3,1,357094,114689,39.1080846786499,6
graph07,3,1,615965,180961,99.1365168094635,6
graph07,3,1,321627,104609,32.63467311859131,6
graph07,3,1,441877,137041,59.73444199562073,6
graph07,3,1,436592,135553,53.30545520782471,6
graph07,3,1,510701,155009,69.81080412864685,6
graph07,3,1,366393,117281,40.05771255493164,6
graph07,3,1,460412,142177,54.51861500740051,6
graph07,3,1,619087,181857,98.13437008857727,6
graph07,3,1,538705,161809,75.74961376190186,6
graph07,3,1,367097,117361,41.515504121780396,6
graph07,3,1,526919,158865,70.82869148254395,6
graph07,3,1,207741,71825,16.861475706100464,6
graph07,3,1,373472,119249,41.61436629295349,6
graph07,3,1,344793,111121,36.75771951675415,6
graph07,3,1,460058,141633,57.327786922454834,6
graph07,3,1,368018,117585,40.63860368728638,6
graph07,3,1,350123,112449,37.74411058425903,6
graph07,3,1,533458,160625,73.76087427139282,6
graph07,3,1,512058,155185,66.74697065353394,6
graph07,3,1,605540,178145,91.79820966720581,6
graph07,3,1,541432,162369,77.19493222236633,6
graph07,3,1,597147,176289,91.14921188354492,6
graph07,3,1,476046,145601,59.44973063468933,6
graph07,3,1,345265,111537,38.91611123085022,6
graph07,3,1,341999,110417,40.501394748687744,6
graph07,3,1,471598,144657,58.9906747341156,6
graph07,3,1,410484,128833,47.19914364814758,6
graph07,3,1,605101,178449,91.60578107833862,6
graph07,3,1,258718,86849,25.3141450881958,6
graph07,3,1,219471,75265,21.934005737304688,6
graph07,3,1,448565,138545,55.96403384208679,6
graph07,3,1,255115,86001,24.781161785125732,6
graph07,3,1,317607,103985,33.040502309799194,6
graph07,3,1,525758,158625,69.97797870635986,6
graph07,3,1,519396,157233,69.99433326721191,6
graph07,3,1,578058,171089,80.6382167339325,6
graph07,3,1,431329,134369,52.515257835388184,6
graph07,3,1,291410,96545,28.934706687927246,6
graph07,3,1,435158,135457,52.55548906326294,6
graph07,3,1,280035,92977,24.48899793624878,6
graph07,3,1,299065,98481,30.003800868988037,6
graph07,3,1,480399,146977,62.59205746650696,6
graph07,3,1,533700,160369,71.53976440429688,6
graph07,3,1,531821,159873,75.32702445983887,6
graph07,3,1,373597,119297,41.75288701057434,6
graph07,3,1,374942,119425,42.8681001663208,6
graph07,3,1,426452,132945,50.79768514633179,6
graph07,3,1,508071,154065,70.12086963653564,6
graph07,3,1,551593,164657,79.1653938293457,6
graph07,3,1,555302,165585,80.73722767829895,6
graph07,3,1,504773,153297,67.67647528648376,6
graph07,3,1,407160,127937,44.29487466812134,6
graph07,3,1,619240,182225,96.62190008163452,6
graph07,3,1,428594,133697,53.08863115310669,6
graph07,3,1,413043,129377,50.43220114707947,6
graph07,3,1,494531,151009,68.26062560081482,6
graph07,3,1,422569,131921,51.31306004524231,6
graph07,3,1,357197,114673,34.899627685546875,6
graph07,3,1,332437,107777,37.22784399986267,6
graph07,3,1,428192,133761,51.31739616394043,6
graph07,3,1,444391,137553,57.184027910232544,6
graph07,3,1,554366,165201,79.06633758544922,6
graph07,3,1,381314,121185,40.69741106033325,6
graph07,3,1,558092,166705,81.22162532806396,6
graph07,3,1,358316,115137,43.06403374671936,6
graph07,3,1,378654,120401,43.6936240196228,6
graph07,3,1,382534,121537,42.440839767456055,6
graph07,3,1,317496,103905,33.098642110824585,6
graph07,3,1,610583,179761,96.5804271697998,6
graph07,3,1,437488,135569,56.61768078804016,6
graph07,3,1,282199,93889,26.620558261871338,6
graph07,3,1,505476,153649,65.27753257751465,6
graph07,3,1,606855,179041,92.32227516174316,6
graph07,3,1,207861,71713,17.93697690963745,6
graph07,3,1,281327,93329,28.174854516983032,6
graph07,3,1,483976,148033,64.85015678405762,6
graph07,3,1,228842,78097,23.996765613555908,6
graph07,3,1,253630,85745,23.599414348602295,6
graph07,3,1,393514,124417,50.849679946899414,6
graph07,3,1,384178,121585,39.18243956565857,6
graph07,3,1,537387,161441,75.34006237983704,6
graph07,3,1,427196,133057,54.65342164039612,6
graph07,3,1,245584,82977,21.494287729263306,6
graph07,3,1,290141,95905,26.328706979751587,6
graph07,3,1,375442,119473,38.84820199012756,6
graph07,3,1,393708,124273,45.01736640930176,6
graph07,3,1,254911,85841,27.74218463897705,6
graph07,3,1,339461,109649,37.98895835876465,6
graph07,3,1,529374,159521,75.08856725692749,6
graph07,3,1,567581,168673,84.53978061676025,6
graph07,3,1,227805,78017,23.752113342285156,6
graph07,3,1,287088,95201,27.825408220291138,6
graph07,3,1,570636,169009,81.52589726448059,6
graph07,3,1,405873,127713,50.78822135925293,6
graph07,3,1,505029,153441,68.46811604499817,6
graph07,3,1,577368,171009,84.76089453697205,6
graph07,3,1,481263,147505,64.05328178405762,6
