Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph07,3,1,358893,115169,35.34001588821411,6
graph07,3,1,293983,97105,27.910364151000977,6
graph07,3,1,357094,114705,41.09784960746765,6
graph07,3,1,615965,180945,99.14197564125061,6
graph07,3,1,321627,104609,31.69143033027649,6
graph07,3,1,441877,137041,50.22766923904419,6
graph07,3,1,436592,135553,50.97712326049805,6
graph07,3,1,510701,154993,65.39979839324951,6
graph07,3,1,366393,117297,39.20425724983215,6
graph07,3,1,460412,142193,55.782891035079956,6
graph07,3,1,619087,181857,95.43655157089233,6
graph07,3,1,538705,161809,73.27242851257324,6
graph07,3,1,367097,117345,38.63124990463257,6
graph07,3,1,526919,158865,67.96282362937927,6
graph07,3,1,207741,71825,15.868869304656982,6
graph07,3,1,373472,119249,39.562002182006836,6
graph07,3,1,344793,111121,36.07113432884216,6
graph07,3,1,460058,141633,54.12586855888367,6
graph07,3,1,368018,117585,40.09852313995361,6
graph07,3,1,350123,112449,32.95435547828674,6
graph07,3,1,533458,160625,72.52354264259338,6
graph07,3,1,512058,155185,65.22199773788452,6
graph07,3,1,605540,178129,94.11967825889587,6
graph07,3,1,541432,162369,77.53972578048706,6
graph07,3,1,597147,176273,91.00643277168274,6
graph07,3,1,476046,145585,59.111427545547485,6
graph07,3,1,345265,111537,34.452733516693115,6
graph07,3,1,341999,110417,33.65141034126282,6
graph07,3,1,471598,144657,60.85630488395691,6
graph07,3,1,410484,128849,47.43508172035217,6
graph07,3,1,605101,178449,94.51318693161011,6
graph07,3,1,258718,86849,24.327114820480347,6
graph07,3,1,219471,75265,21.212427139282227,6
graph07,3,1,448565,138545,55.24447727203369,6
graph07,3,1,255115,85985,25.751267433166504,6
graph07,3,1,317607,103985,31.169353723526,6
graph07,3,1,525758,158625,72.12359189987183,6
graph07,3,1,519396,157233,69.46388363838196,6
graph07,3,1,578058,171089,87.07772612571716,6
graph07,3,1,431329,134369,51.248040437698364,6
graph07,3,1,291410,96561,28.341673851013184,6
graph07,3,1,435158,135457,49.163849115371704,6
graph07,3,1,280035,92977,26.683231115341187,6
graph07,3,1,299065,98481,27.471919298171997,6
graph07,3,1,480399,146977,56.569488286972046,6
graph07,3,1,533700,160369,73.57612681388855,6
graph07,3,1,531821,159873,73.0085301399231,6
graph07,3,1,373597,119297,37.746174335479736,6
graph07,3,1,374942,119441,41.13515615463257,6
graph07,3,1,426452,132945,49.312461137771606,6
graph07,3,1,508071,154049,71.48798394203186,6
graph07,3,1,551593,164641,75.57082104682922,6
graph07,3,1,555302,165585,75.60683250427246,6
graph07,3,1,504773,153297,67.23240542411804,6
graph07,3,1,407160,127937,43.71992897987366,6
graph07,3,1,619240,182225,95.30925488471985,6
graph07,3,1,428594,133697,51.681804895401,6
graph07,3,1,413043,129393,48.22582983970642,6
graph07,3,1,494531,151009,62.093717098236084,6
graph07,3,1,422569,131921,48.43527173995972,6
graph07,3,1,357197,114689,37.141088247299194,6
graph07,3,1,332437,107777,32.203760862350464,6
graph07,3,1,428192,133761,48.68978142738342,6
graph07,3,1,444391,137553,54.40221905708313,6
graph07,3,1,554366,165201,77.61090064048767,6
graph07,3,1,381314,121185,41.32766008377075,6
graph07,3,1,558092,166721,77.55406284332275,6
graph07,3,1,358316,115137,37.07884097099304,6
graph07,3,1,378654,120401,42.66911506652832,6
graph07,3,1,382534,121537,44.165194034576416,6
graph07,3,1,317496,103905,29.22285008430481,6
graph07,3,1,610583,179761,91.57350873947144,6
graph07,3,1,437488,135569,49.48013877868652,6
graph07,3,1,282199,93889,25.860745906829834,6
graph07,3,1,505476,153649,64.14012408256531,6
graph07,3,1,606855,179041,95.14065837860107,6
graph07,3,1,207861,71697,17.72685980796814,6
graph07,3,1,281327,93329,22.034387826919556,6
graph07,3,1,483976,148033,65.11534118652344,6
graph07,3,1,228842,78113,17.126384496688843,6
graph07,3,1,253630,85745,23.930078506469727,6
graph07,3,1,393514,124417,42.48693037033081,6
graph07,3,1,384178,121569,39.44603991508484,6
graph07,3,1,537387,161441,73.83546495437622,6
graph07,3,1,427196,133041,46.38182067871094,6
graph07,3,1,245584,82977,19.6082980632782,6
graph07,3,1,290141,95905,25.28752064704895,6
graph07,3,1,375442,119473,41.01755380630493,6
graph07,3,1,393708,124273,42.29647493362427,6
graph07,3,1,254911,85841,25.93094277381897,6
graph07,3,1,339461,109649,34.39126229286194,6
graph07,3,1,529374,159521,70.18872833251953,6
graph07,3,1,567581,168689,82.79538226127625,6
graph07,3,1,227805,78017,21.852980613708496,6
graph07,3,1,287088,95201,26.15768575668335,6
graph07,3,1,570636,169025,84.95675587654114,6
graph07,3,1,405873,127713,41.90740370750427,6
graph07,3,1,505029,153441,66.64807057380676,6
graph07,3,1,577368,171009,86.25140929222107,6
graph07,3,1,481263,147489,60.20001006126404,6
