Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph02,2,1,239253,92193,19.776763200759888,1
graph02,2,1,196034,75761,10.583717823028564,1
graph02,2,1,238059,91665,17.841428756713867,1
graph02,2,1,410677,157313,35.59506678581238,1
graph02,2,1,214444,82801,13.815425395965576,1
graph02,2,1,294569,113169,24.003734588623047,1
graph02,2,1,291024,111873,23.67704677581787,1
graph02,2,1,340388,130561,27.560736894607544,1
graph02,2,1,244278,94113,16.217998027801514,1
graph02,2,1,307018,117969,23.27312183380127,1
graph02,2,1,412776,158129,35.87681341171265,1
graph02,2,1,359173,137649,29.99825096130371,1
graph02,2,1,244709,94353,21.480226278305054,1
graph02,2,1,351300,134785,25.830132007598877,1
graph02,2,1,138484,53921,10.275069236755371,1
graph02,2,1,248975,95905,19.674925565719604,1
graph02,2,1,229874,88657,13.972799062728882,1
graph02,2,1,306687,117809,21.99489665031433,1
graph02,2,1,245343,94497,17.373958349227905,1
graph02,2,1,233414,90081,17.257154941558838,1
graph02,2,1,355631,136401,29.01380443572998,1
graph02,2,1,341391,130897,29.16216278076172,1
graph02,2,1,403674,154593,35.106247425079346,1
graph02,2,1,360936,138225,29.20761275291443,1
graph02,2,1,398102,152449,36.442667722702026,1
graph02,2,1,317333,121809,21.589568853378296,1
graph02,2,1,230145,88785,12.28245997428894,1
graph02,2,1,227990,87889,19.843826293945312,1
graph02,2,1,314394,120657,24.23810839653015,1
graph02,2,1,273595,105297,22.970091581344604,1
graph02,2,1,403412,154353,30.88049840927124,1
graph02,2,1,172451,66833,12.106285095214844,1
graph02,2,1,146323,56865,8.727449417114258,1
graph02,2,1,299009,114785,19.26446509361267,1
graph02,2,1,170094,65969,11.044420003890991,1
graph02,2,1,211728,81697,18.973106861114502,1
graph02,2,1,350517,134481,30.13322877883911,1
graph02,2,1,346243,132913,28.435492992401123,1
graph02,2,1,385433,147633,29.669484853744507,1
graph02,2,1,287534,110529,22.161202430725098,1
graph02,2,1,194237,75089,15.786847829818726,1
graph02,2,1,290041,111345,20.365636348724365,1
graph02,2,1,186727,72257,10.975388526916504,1
graph02,2,1,199304,76961,15.778708457946777,1
graph02,2,1,320377,122913,24.54946494102478,1
graph02,2,1,355755,136385,31.633002996444702,1
graph02,2,1,354551,135969,31.00702714920044,1
graph02,2,1,249056,96001,21.76253867149353,1
graph02,2,1,249950,96225,18.666107654571533,1
graph02,2,1,284297,109233,21.78207802772522,1
graph02,2,1,338734,129921,26.828937768936157,1
graph02,2,1,367770,140929,27.220401763916016,1
graph02,2,1,370164,141841,33.64271354675293,1
graph02,2,1,336522,129169,26.35122537612915,1
graph02,2,1,271376,104321,17.42023468017578,1
graph02,2,1,412859,158097,38.267465353012085,1
graph02,2,1,285742,109697,20.13120746612549,1
graph02,2,1,275328,105793,16.820926189422607,1
graph02,2,1,329659,126625,28.006913661956787,1
graph02,2,1,281729,108305,21.465561389923096,1
graph02,2,1,238125,91809,18.73919677734375,1
graph02,2,1,221672,85425,16.678712606430054,1
graph02,2,1,285492,109713,21.791101217269897,1
graph02,2,1,296269,113793,22.19227933883667,1
graph02,2,1,369528,141585,30.63615918159485,1
graph02,2,1,254200,97745,19.979281425476074,1
graph02,2,1,372161,142609,32.85047101974487,1
graph02,2,1,238868,92017,21.67653250694275,1
graph02,2,1,252444,97281,19.763577222824097,1
graph02,2,1,255053,98209,18.176891088485718,1
graph02,2,1,211667,81665,16.630688905715942,1
graph02,2,1,407099,155969,34.236249923706055,1
graph02,2,1,291654,112113,22.623905658721924,1
graph02,2,1,188107,72753,12.993902683258057,1
graph02,2,1,336990,129377,29.420273780822754,1
graph02,2,1,404595,154833,35.151275873184204,1
graph02,2,1,138559,53905,10.388832569122314,1
graph02,2,1,187547,72545,13.390430450439453,1
graph02,2,1,322621,123889,23.748902082443237,1
graph02,2,1,152607,59249,12.94218635559082,1
graph02,2,1,169049,65585,11.861151695251465,1
graph02,2,1,262320,100945,19.831576347351074,1
graph02,2,1,256109,98593,17.104451894760132,1
graph02,2,1,358245,137409,31.15624499320984,1
graph02,2,1,284793,109409,19.821093320846558,1
graph02,2,1,163699,63521,11.599869012832642,1
graph02,2,1,193395,74785,14.617748498916626,1
graph02,2,1,250374,96321,15.626411437988281,1
graph02,2,1,262467,100993,19.739041805267334,1
graph02,2,1,169910,65857,7.935045480728149,1
graph02,2,1,226323,87249,12.928553819656372,1
graph02,2,1,352948,135281,28.569655418395996,1
graph02,2,1,378417,145041,33.8300507068634,1
graph02,2,1,151902,59025,10.111165761947632,1
graph02,2,1,191352,74017,13.285356998443604,1
graph02,2,1,380429,145697,32.87644958496094,1
graph02,2,1,270566,104113,18.54891061782837,1
graph02,2,1,336688,129089,22.645141124725342,1
graph02,2,1,384930,147521,32.43638038635254,1
graph02,2,1,320837,123041,27.828988313674927,1
