Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph10,3,1,358912,130561,10.46122145652771,9
graph10,3,1,294000,107185,6.814075231552124,9
graph10,3,1,357120,129793,10.500677585601807,9
graph10,3,1,616000,223089,29.663305521011353,9
graph10,3,1,321648,117009,7.888252019882202,9
graph10,3,1,441888,160305,14.908517837524414,9
graph10,3,1,436608,158337,14.616003036499023,9
graph10,3,1,510720,185137,20.008906841278076,9
graph10,3,1,366416,133217,10.309679985046387,9
graph10,3,1,460432,167169,16.02048969268799,9
graph10,3,1,619120,224209,29.33750605583191,9
graph10,3,1,538720,195105,22.35212469100952,9
graph10,3,1,367136,133521,10.187064409255981,9
graph10,3,1,526960,191089,21.09840202331543,9
graph10,3,1,207760,75985,3.314962863922119,9
graph10,3,1,373504,135665,10.651587963104248,9
graph10,3,1,344816,125329,9.045332908630371,9
graph10,3,1,460080,166801,16.343080520629883,9
graph10,3,1,368048,133601,10.393231868743896,9
graph10,3,1,350144,127329,9.337260723114014,9
graph10,3,1,533488,193521,21.844924688339233,9
graph10,3,1,512080,185585,20.588114023208618,9
graph10,3,1,605552,219425,28.04978084564209,9
graph10,3,1,541440,196225,23.10893750190735,9
graph10,3,1,597184,216369,27.361173152923584,9
graph10,3,1,476064,172657,17.306013584136963,9
graph10,3,1,345280,125569,9.096793174743652,9
graph10,3,1,342016,124481,8.87032175064087,9
graph10,3,1,471632,170945,17.09194588661194,9
graph10,3,1,410496,149137,13.117156267166138,9
graph10,3,1,605120,218929,28.258128881454468,9
graph10,3,1,258736,94401,5.13627552986145,9
graph10,3,1,219504,80241,3.660818099975586,9
graph10,3,1,448592,162849,15.260484457015991,9
graph10,3,1,255136,93201,4.9507527351379395,9
graph10,3,1,317632,115521,7.71314549446106,9
graph10,3,1,525776,190561,21.232914686203003,9
graph10,3,1,519424,188337,20.531553268432617,9
graph10,3,1,578096,209361,25.74039101600647,9
graph10,3,1,431360,156689,14.470548152923584,9
graph10,3,1,291440,106161,6.503858327865601,9
graph10,3,1,435184,157889,14.20759654045105,9
graph10,3,1,280048,102129,5.888118267059326,9
graph10,3,1,299104,108945,6.723945379257202,9
graph10,3,1,480416,174209,17.51313281059265,9
graph10,3,1,533728,193393,21.407095432281494,9
graph10,3,1,531840,192785,21.37949252128601,9
graph10,3,1,373616,135825,10.524292945861816,9
graph10,3,1,374944,136049,10.639792919158936,9
graph10,3,1,426480,154705,13.84645676612854,9
graph10,3,1,508096,184193,19.474472522735596,9
graph10,3,1,551616,199793,22.981120347976685,9
graph10,3,1,555328,201089,23.646790027618408,9
graph10,3,1,504800,183089,19.49814796447754,9
graph10,3,1,407184,147729,12.618080615997314,9
graph10,3,1,619248,224177,29.444361209869385,9
graph10,3,1,428608,155537,13.988231897354126,9
graph10,3,1,413072,150017,13.222124099731445,9
graph10,3,1,494560,179409,18.61691164970398,9
graph10,3,1,422592,153361,13.734070777893066,9
graph10,3,1,357216,129889,9.851842164993286,9
graph10,3,1,332448,120913,8.507461786270142,9
graph10,3,1,428224,155441,14.118164539337158,9
graph10,3,1,444400,161153,15.2112717628479,9
graph10,3,1,554384,200833,23.76517915725708,9
graph10,3,1,381344,138401,11.171384572982788,9
graph10,3,1,558112,202193,23.888917207717896,9
graph10,3,1,358336,130353,9.896884441375732,9
graph10,3,1,378672,137585,10.92985224723816,9
graph10,3,1,382544,139025,11.424929857254028,9
graph10,3,1,317520,115569,7.7001941204071045,9
graph10,3,1,610592,221329,29.343772888183594,9
graph10,3,1,437504,158913,14.685444116592407,9
graph10,3,1,282224,102833,6.1123316287994385,9
graph10,3,1,505504,183201,19.574907779693604,9
graph10,3,1,606880,219857,28.574344158172607,9
graph10,3,1,207888,76065,3.3532907962799072,9
graph10,3,1,281360,102625,6.049530744552612,9
graph10,3,1,483984,175681,17.99840545654297,9
graph10,3,1,228864,83681,4.003986120223999,9
graph10,3,1,253664,92545,4.937516450881958,9
graph10,3,1,393536,142945,11.846413135528564,9
graph10,3,1,384208,139521,11.17340350151062,9
graph10,3,1,537408,194753,22.00880265235901,9
graph10,3,1,427232,155073,13.795196533203125,9
graph10,3,1,245616,89697,4.703288555145264,9
graph10,3,1,290160,105809,6.425113916397095,9
graph10,3,1,375456,136273,10.661836385726929,9
graph10,3,1,393728,143041,11.762846231460571,9
graph10,3,1,254928,92961,4.965860843658447,9
graph10,3,1,339488,123345,8.694372415542603,9
graph10,3,1,529392,191937,21.43170738220215,9
graph10,3,1,567600,205473,24.301953077316284,9
graph10,3,1,227824,83329,3.9218313694000244,9
graph10,3,1,287104,104577,6.2640180587768555,9
graph10,3,1,570656,206689,24.92412304878235,9
graph10,3,1,405888,147441,12.43793797492981,9
graph10,3,1,505056,182961,19.59324622154236,9
graph10,3,1,577392,209009,25.655516862869263,9
graph10,3,1,481280,174577,17.619571685791016,9
