Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph09,1,1,119607,50193,6.058802127838135,8
graph09,1,1,98027,41345,2.0484719276428223,8
graph09,1,1,119031,49953,3.0505857467651367,8
graph09,1,1,205298,85329,5.092813491821289,8
graph09,1,1,107253,45137,7.056800603866577,8
graph09,1,1,147338,61617,6.069578170776367,8
graph09,1,1,145521,60881,5.0725417137146,8
graph09,1,1,170185,70961,5.079447507858276,8
graph09,1,1,122108,51137,5.060533285140991,8
graph09,1,1,153483,64097,5.065063953399658,8
graph09,1,1,206339,85777,7.091131210327148,8
graph09,1,1,179529,74753,6.084748268127441,8
graph09,1,1,122337,51329,4.06091046333313,8
graph09,1,1,175667,73153,7.086921453475952,8
graph09,1,1,69223,29457,6.04369330406189,8
graph09,1,1,124500,52145,8.066991806030273,8
graph09,1,1,114924,48193,4.0579211711883545,8
graph09,1,1,153338,64033,6.0744853019714355,8
graph09,1,1,122679,51489,2.0583324432373047,8
graph09,1,1,116727,48993,4.0586771965026855,8
graph09,1,1,177806,74049,3.081594705581665,8
graph09,1,1,170721,71105,6.083571434020996,8
graph09,1,1,201852,83969,5.094609260559082,8
graph09,1,1,180460,75185,4.085924386978149,8
graph09,1,1,199043,82705,7.092187881469727,8
graph09,1,1,158654,66129,3.069761037826538,8
graph09,1,1,115105,48289,4.058797597885132,8
graph09,1,1,113962,47857,7.061880350112915,8
graph09,1,1,157224,65521,3.0713162422180176,8
graph09,1,1,136799,57281,5.067521810531616,8
graph09,1,1,201688,83889,4.08850622177124,8
graph09,1,1,86207,36433,4.0489561557769775,8
graph09,1,1,73170,31153,6.0423264503479,8
graph09,1,1,149522,62465,6.069329261779785,8
graph09,1,1,85059,35985,3.0457825660705566,8
graph09,1,1,105877,44529,6.051304340362549,8
graph09,1,1,175258,72977,2.0815682411193848,8
graph09,1,1,173103,72065,6.081944704055786,8
graph09,1,1,192755,80289,6.08837366104126,8
graph09,1,1,143779,60177,4.067206144332886,8
graph09,1,1,97141,40961,6.054156303405762,8
graph09,1,1,145010,60577,7.0725109577178955,8
graph09,1,1,93415,39425,5.050489902496338,8
graph09,1,1,99634,41873,8.047262907028198,8
graph09,1,1,160208,66865,6.076317310333252,8
graph09,1,1,177892,74017,7.082321643829346,8
graph09,1,1,177275,73825,6.084591627120972,8
graph09,1,1,124527,52209,6.0630271434783936,8
graph09,1,1,124942,52385,6.061584234237671,8
graph09,1,1,142194,59441,7.070596933364868,8
graph09,1,1,169368,70657,5.077915906906128,8
graph09,1,1,183929,76577,3.0808417797088623,8
graph09,1,1,185048,76945,6.084808588027954,8
graph09,1,1,168297,70241,6.077240467071533,8
graph09,1,1,135669,56769,3.061319351196289,8
graph09,1,1,206448,85809,4.094421148300171,8
graph09,1,1,142863,59633,2.0653843879699707,8
graph09,1,1,137667,57665,5.06982946395874,8
graph09,1,1,164834,68785,5.077863931655884,8
graph09,1,1,140888,58881,5.067452669143677,8
graph09,1,1,119049,49905,7.05469536781311,8
graph09,1,1,110845,46577,6.055543661117554,8
graph09,1,1,142722,59697,6.067497491836548,8
graph09,1,1,148112,61809,3.0680580139160156,8
graph09,1,1,184750,76817,5.087519884109497,8
graph09,1,1,127105,53217,5.06028938293457,8
graph09,1,1,186046,77409,6.086589097976685,8
graph09,1,1,119446,50129,5.061525344848633,8
graph09,1,1,126158,52865,3.061662197113037,8
graph09,1,1,127519,53537,3.060863733291626,8
graph09,1,1,105834,44513,3.052574872970581,8
graph09,1,1,203500,84497,5.091394662857056,8
graph09,1,1,145832,60929,6.074073076248169,8
graph09,1,1,94074,39745,4.048649787902832,8
graph09,1,1,168469,70273,5.070269823074341,8
graph09,1,1,202272,84113,6.093498468399048,8
graph09,1,1,69276,29537,2.0294861793518066,8
graph09,1,1,93761,39553,5.049774169921875,8
graph09,1,1,161296,67313,5.0657641887664795,8
graph09,1,1,76315,32449,6.047271013259888,8
graph09,1,1,84497,35745,6.047595739364624,8
graph09,1,1,131183,54977,4.063312292098999,8
graph09,1,1,128075,53633,6.067558765411377,8
graph09,1,1,179112,74497,8.084838390350342,8
graph09,1,1,142374,59521,5.0666344165802,8
graph09,1,1,81826,34753,5.0419652462005615,8
graph09,1,1,96670,40817,6.040445327758789,8
graph09,1,1,125176,52449,3.060575246810913,8
graph09,1,1,131251,54881,8.068511009216309,8
graph09,1,1,84983,36017,3.0423433780670166,8
graph09,1,1,113161,47553,6.058590412139893,8
graph09,1,1,176432,73393,7.082505941390991,8
graph09,1,1,189234,78801,3.0852112770080566,8
graph09,1,1,75995,32273,6.042811393737793,8
graph09,1,1,95678,40337,2.040637969970703,8
graph09,1,1,190230,79089,6.075942039489746,8
graph09,1,1,135276,56577,3.0669913291931152,8
graph09,1,1,168371,70193,6.069986820220947,8
graph09,1,1,192440,80001,5.0894834995269775,8
graph09,1,1,160366,66929,5.0802834033966064,8
