Method,Number of Inputs,Number of Outputs,Input Size,Output Size,Process Time,Target
graph01,1,1,119607,136753,21.296550273895264,0
graph01,1,1,98027,112081,19.734469175338745,0
graph01,1,1,119031,136097,23.768561124801636,0
graph01,1,1,205298,234705,40.54612994194031,0
graph01,1,1,107253,122609,21.945417881011963,0
graph01,1,1,147338,168433,27.6796555519104,0
graph01,1,1,145521,166369,28.393226623535156,0
graph01,1,1,170185,194561,34.60469031333923,0
graph01,1,1,122108,139601,20.057799100875854,0
graph01,1,1,153483,175473,24.925872087478638,0
graph01,1,1,206339,235857,43.1455283164978,0
graph01,1,1,179529,205249,35.94766688346863,0
graph01,1,1,122337,139873,27.168726921081543,0
graph01,1,1,175667,200833,37.02711796760559,0
graph01,1,1,69223,79153,14.279845476150513,0
graph01,1,1,124500,142321,24.55276608467102,0
graph01,1,1,114924,131409,23.974894762039185,0
graph01,1,1,153338,175281,27.936789751052856,0
graph01,1,1,122679,140257,24.29416847229004,0
graph01,1,1,116727,133425,21.266935348510742,0
graph01,1,1,177806,203281,30.409714937210083,0
graph01,1,1,170721,195153,39.11586570739746,0
graph01,1,1,201852,230753,39.59340000152588,0
graph01,1,1,180460,206273,28.226571321487427,0
graph01,1,1,199043,227537,33.93052911758423,0
graph01,1,1,158654,181377,28.296284914016724,0
graph01,1,1,115105,131585,22.02158808708191,0
graph01,1,1,113962,130321,21.86465287208557,0
graph01,1,1,157224,179729,31.960819005966187,0
graph01,1,1,136799,156417,29.714221239089966,0
graph01,1,1,201688,230577,41.22949814796448,0
graph01,1,1,86207,98577,18.12727975845337,0
graph01,1,1,73170,83665,10.689475059509277,0
graph01,1,1,149522,170913,27.246989488601685,0
graph01,1,1,85059,97249,19.977080821990967,0
graph01,1,1,105877,121073,22.867147207260132,0
graph01,1,1,175258,200353,30.100667715072632,0
graph01,1,1,173103,197889,32.453678131103516,0
graph01,1,1,192755,220321,38.28846454620361,0
graph01,1,1,143779,164369,26.159506797790527,0
graph01,1,1,97141,111073,15.46392560005188,0
graph01,1,1,145010,165777,24.45282244682312,0
graph01,1,1,93415,106785,20.136221170425415,0
graph01,1,1,99634,113921,21.81351327896118,0
graph01,1,1,160208,183105,29.621000289916992,0
graph01,1,1,177892,203361,37.14838480949402,0
graph01,1,1,177275,202657,38.400158166885376,0
graph01,1,1,124527,142353,18.5060977935791,0
graph01,1,1,124942,142833,23.62252449989319,0
graph01,1,1,142194,162545,25.75295376777649,0
graph01,1,1,169368,193617,35.68479084968567,0
graph01,1,1,183929,210273,33.99427247047424,0
graph01,1,1,185048,211569,38.43068265914917,0
graph01,1,1,168297,192401,29.186233043670654,0
graph01,1,1,135669,155105,25.73437237739563,0
graph01,1,1,206448,235985,38.61614513397217,0
graph01,1,1,142863,163297,24.85111117362976,0
graph01,1,1,137667,157361,25.89166784286499,0
graph01,1,1,164834,188449,30.31591820716858,0
graph01,1,1,140888,161057,25.48031497001648,0
graph01,1,1,119049,136161,20.613155603408813,0
graph01,1,1,110845,126705,24.336923360824585,0
graph01,1,1,142722,163185,25.05856728553772,0
graph01,1,1,148112,169329,24.01752805709839,0
graph01,1,1,184750,211185,35.090482234954834,0
graph01,1,1,127105,145313,29.02927255630493,0
graph01,1,1,186046,212673,39.227171897888184,0
graph01,1,1,119446,136561,21.549683332443237,0
graph01,1,1,126158,144273,22.648460388183594,0
graph01,1,1,127519,145809,24.929409980773926,0
graph01,1,1,105834,120993,20.58438539505005,0
graph01,1,1,203500,232641,39.121431827545166,0
graph01,1,1,145832,166705,25.47776198387146,0
graph01,1,1,94074,107537,14.99863076210022,0
graph01,1,1,168469,192577,31.462751388549805,0
graph01,1,1,202272,231249,40.9781756401062,0
graph01,1,1,69276,79217,19.321766138076782,0
graph01,1,1,93761,107201,18.95586633682251,0
graph01,1,1,161296,184401,28.661753177642822,0
graph01,1,1,76315,87265,14.91720962524414,0
graph01,1,1,84497,96625,18.80008602142334,0
graph01,1,1,131183,149969,26.489107608795166,0
graph01,1,1,128075,146417,25.20976161956787,0
graph01,1,1,179112,204769,32.53122401237488,0
graph01,1,1,142374,162753,29.711377143859863,0
graph01,1,1,81826,93569,20.630972862243652,0
graph01,1,1,96670,110545,19.312836170196533,0
graph01,1,1,125176,143121,22.577342748641968,0
graph01,1,1,131251,150049,25.64665412902832,0
graph01,1,1,84983,97169,13.898290634155273,0
graph01,1,1,113161,129377,24.67898678779602,0
graph01,1,1,176432,201681,37.17242074012756,0
graph01,1,1,189234,216289,38.689950466156006,0
graph01,1,1,75995,86897,10.899829864501953,0
graph01,1,1,95678,109393,17.15610694885254,0
graph01,1,1,190230,217473,34.49026918411255,0
graph01,1,1,135276,154657,26.549295902252197,0
graph01,1,1,168371,192497,28.331007480621338,0
graph01,1,1,192440,219937,38.1221182346344,0
graph01,1,1,160366,183329,25.55583930015564,0
